season,episode,totalEpisode,timestamp,summary,solid_apology,chart_highlight
1,1,1,50:00:00,Mary said Jen smelled like hospital and Jen wants an apology.,FALSE,FALSE
1,2,2,5:00:00,Mary tries a second time to apologize about saying Jen smelled like hospital.,FALSE,FALSE
1,2,2,38:15:00,Heather confronts Lisa about saying she didn't know her in college.,FALSE,FALSE
1,3,3,20:40:00,?,TRUE,FALSE
1,4,4,41:50:00,"Jen shares with the group about her trauma and why she acts the way she does. She apologizes for yelling at Meredith, and Meredith feels the apology is genuine.",TRUE,FALSE
1,6,6,18:49:00,Jen confronts Mary about dismissing her story and then kicking her out of the luncheon.,FALSE,FALSE
1,6,6,18:49:00,"Mary confronts Jen about calling her a ""grandfather MFer.""",FALSE,FALSE
1,7,7,8:10:00,Brooks confronts his dad about not being present at his fashion show.,FALSE,FALSE
1,8,8,6:35:00,Seth apologizes to Brooks.,TRUE,FALSE
1,10,10,23:26:00,Whitney apologizes over the phone to Jen about making her angry at Shareef's birthday party.,TRUE,FALSE
1,10,10,27:28:00,Whitney brings Jen to a hot tub to apologize to her.,FALSE,FALSE
1,10,10,28:18:00,"Heather apologizes to Jen in the hot tub, but it's not clear that she did anything wrong (she's just trying to keep Jen calm).",FALSE,FALSE
1,10,10,31:57:00,"Whitney tries again, and Jen accepts it.",TRUE,FALSE
1,10,10,40:57:00,"Jen and Shareef talk it out, and apologize to each other.",TRUE,FALSE
1,11,11,36:30:00,"Whitney apologizes to Meredith and Lisa for the scene at Shareef's birthday party, and they take it well.",TRUE,FALSE
1,12,12,36:14:00,Meredith confronts Jen about saying negative things about her marriage.,FALSE,FALSE
1,13,13,34:25:00,Jen apologizes to Shareef for how she's been acting.,TRUE,FALSE
1,13,13,49:13:00,"Jen apologizes to Whitney about yelling at her, and Whitney accepts.",TRUE,FALSE
1,13,13,52:59:00,Jen apologizes to Meredith for talking negatively about her marriage.,TRUE,FALSE
1,13,13,57:00:00,"Heather confronts Jen about pushing her. After denying it, Jen apologizes.",TRUE,FALSE
1,14,14,23:38:00,A listener question asks if Heather has gotten an apology from Jen about the night of Shareef's party.,FALSE,FALSE
1,14,14,27:41:00,Jen apologizes for cyberbullying Brooks after he said he saw her vagina.,FALSE,FALSE
1,14,14,34:54:00,"Mary, Whitney, and Heather say Lisa is mean, and Lisa denies it.",FALSE,FALSE
1,15,15,4:18:00,"Mary re-apologizes for ""smells like hospital.""",FALSE,FALSE
1,15,15,6:27:00,Mary addresses her comments about fearing black guys in front of convenience stores.,FALSE,FALSE
1,15,15,10:30:00,"Jen apologizes for the ""grandpa MF-er"" incident.",TRUE,FALSE
1,15,15,25:50:00,Mary apologizes (again) for everything with Jen.,TRUE,FALSE
1,15,15,26:00:00,Jen apologizes too.,TRUE,FALSE
1,15,15,39:20:00,"Whitney and Heather confront Lisa for being mean, Lisa is frustrated because she thinks they'll always have a negative perception of her.",FALSE,FALSE
1,16,16,14:08:00,Shareef apologizes on Jen's behalf for Jen's comments about Robert Sr.'s marriage.,TRUE,FALSE
1,16,16,22:23:00,Jen apologizes to Meredith for talking about her marriage.,TRUE,FALSE
1,16,16,41:00:00,Heather confronts Jen for saying mean things about her on social media.,FALSE,FALSE
2,2,18,4:52:00,Jen apologizes to her nephew for not being present over the last year.,TRUE,FALSE
2,2,18,35:20:00,Heather confronts Jen about saying mean things about her on social media. Jen brings up her hurt around being painted as mean/aggressive (which is true?) Eventually she delivers a solid apology.,TRUE,FALSE
2,3,19,36:50:00,Meredith confronts Jen about liking homophobic tweets about Brooks and demands an apology.,FALSE,FALSE
2,4,20,8:09:00,Jen apologizes to Meredith about Brooks.,FALSE,FALSE
2,4,20,34:44:00,Angie confronts Lisa about the bar drama.,FALSE,FALSE
2,5,21,14:30:00,Jen apologizes to Brooks about the comments she made and for the vagina moment.,TRUE,FALSE
2,5,21,18:10:00,Jen apologizes to Meredith about all the stuff with Brooks.,TRUE,FALSE
2,5,21,40:18:00,Whitney confronts Lisa about her rude comments lately.,FALSE,FALSE
2,6,22,24:18:00,"Whitney confronts Lisa about the Angie bar sitation, which Lisa denies.",FALSE,FALSE
2,7,23,6:35:00,Dewy apologizes to Jenny for suggesting they get a sister wife.,TRUE,FALSE
2,7,23,26:43:00,"Mary says something about carbonation being bad for your ovaries, and Lisa says ""I need to Google that, is that real?"" Mary is offended and feels belittled.",FALSE,FALSE
2,7,23,35:54:00,Angie confronts Lisa (again) about the bar drama.,FALSE,FALSE
2,9,25,35:01:00,Whitney apologizes for not making it to Lisa's party for her son's brand.,TRUE,FALSE
2,9,25,39:10:00,Jen is upset she wasn't invited to Lisa's party and demands an apology.,TRUE,FALSE
2,9,25,49:50:00,Mary apologizes to Meredith for not being receptive to her while she was going off at Whitney.,FALSE,FALSE
2,12,28,9:23:00,Jenny apologizes to Mary for yelling at her when they went tubing.,FALSE,FALSE
